# V0=0.0, s=0.5 
#  x1  x2  pair dist
#   
   -5.950000E+00    -5.000000E+00     9.294057E-17
   -5.950000E+00    -4.950000E+00     1.562552E-16
   -5.950000E+00    -4.900000E+00     2.598666E-16
   -5.950000E+00    -4.850000E+00     4.277083E-16
   -5.950000E+00    -4.800000E+00     6.969365E-16
   -5.950000E+00    -4.750000E+00     1.124687E-15
   -5.950000E+00    -4.700000E+00     1.797993E-15
   -5.950000E+00    -4.650000E+00     2.848209E-15
   -5.950000E+00    -4.600000E+00     4.471762E-15
   -5.950000E+00    -4.550000E+00     6.959729E-15
   -5.950000E+00    -4.500000E+00     1.073956E-14
   -5.950000E+00    -4.450000E+00     1.643332E-14
   -5.950000E+00    -4.400000E+00     2.493828E-14
   -5.950000E+00    -4.350000E+00     3.753700E-14
   -5.950000E+00    -4.300000E+00     5.604652E-14
   -5.950000E+00    -4.250000E+00     8.301801E-14
   -5.950000E+00    -4.200000E+00     1.220012E-13
   -5.950000E+00    -4.150000E+00     1.778909E-13
   -5.950000E+00    -4.100000E+00     2.573747E-13
   -5.950000E+00    -4.050000E+00     3.695069E-13
   -5.950000E+00    -4.000000E+00     5.264318E-13
   -5.950000E+00    -3.950000E+00     7.442857E-13
   -5.950000E+00    -3.900000E+00     1.044305E-12
   -5.950000E+00    -3.850000E+00     1.454171E-12
   -5.950000E+00    -3.800000E+00     2.009604E-12
   -5.950000E+00    -3.750000E+00     2.756242E-12
   -5.950000E+00    -3.700000E+00     3.751789E-12
   -5.950000E+00    -3.650000E+00     5.068438E-12
   -5.950000E+00    -3.600000E+00     6.795519E-12
   -5.950000E+00    -3.550000E+00     9.042321E-12
   -5.950000E+00    -3.500000E+00     1.194099E-11
   -5.950000E+00    -3.450000E+00     1.564933E-11
   -5.950000E+00    -3.400000E+00     2.035340E-11
   -5.950000E+00    -3.350000E+00     2.626951E-11
   -5.950000E+00    -3.300000E+00     3.364553E-11
   -5.950000E+00    -3.250000E+00     4.276104E-11
   -5.950000E+00    -3.200000E+00     5.392587E-11
   -5.950000E+00    -3.150000E+00     6.747692E-11
   -5.950000E+00    -3.100000E+00     8.377258E-11
   -5.950000E+00    -3.050000E+00     1.031845E-10
   -5.950000E+00    -3.000000E+00     1.260866E-10
   -5.950000E+00    -2.950000E+00     1.528406E-10
   -5.950000E+00    -2.900000E+00     1.837793E-10
   -5.950000E+00    -2.850000E+00     2.191863E-10
   -5.950000E+00    -2.800000E+00     2.592735E-10
   -5.950000E+00    -2.750000E+00     3.041577E-10
   -5.950000E+00    -2.700000E+00     3.538363E-10
   -5.950000E+00    -2.650000E+00     4.081642E-10
   -5.950000E+00    -2.600000E+00     4.668336E-10
   -5.950000E+00    -2.550000E+00     5.293586E-10
   -5.950000E+00    -2.500000E+00     5.950662E-10
   -5.950000E+00    -2.450000E+00     6.630966E-10
   -5.950000E+00    -2.400000E+00     7.324136E-10
   -5.950000E+00    -2.350000E+00     8.018266E-10
   -5.950000E+00    -2.300000E+00     8.700264E-10
   -5.950000E+00    -2.250000E+00     9.356319E-10
   -5.950000E+00    -2.200000E+00     9.972500E-10
   -5.950000E+00    -2.150000E+00     1.053543E-09
   -5.950000E+00    -2.100000E+00     1.103304E-09
   -5.950000E+00    -2.050000E+00     1.145532E-09
   -5.950000E+00    -2.000000E+00     1.179507E-09
   -5.950000E+00    -1.950000E+00     1.204850E-09
   -5.950000E+00    -1.900000E+00     1.221574E-09
   -5.950000E+00    -1.850000E+00     1.230113E-09
   -5.950000E+00    -1.800000E+00     1.231323E-09
   -5.950000E+00    -1.750000E+00     1.226455E-09
   -5.950000E+00    -1.700000E+00     1.217101E-09
   -5.950000E+00    -1.650000E+00     1.205110E-09
   -5.950000E+00    -1.600000E+00     1.192474E-09
   -5.950000E+00    -1.550000E+00     1.181204E-09
   -5.950000E+00    -1.500000E+00     1.173186E-09
   -5.950000E+00    -1.450000E+00     1.170045E-09
   -5.950000E+00    -1.400000E+00     1.173016E-09
   -5.950000E+00    -1.350000E+00     1.182837E-09
   -5.950000E+00    -1.300000E+00     1.199680E-09
   -5.950000E+00    -1.250000E+00     1.223122E-09
   -5.950000E+00    -1.200000E+00     1.252164E-09
   -5.950000E+00    -1.150000E+00     1.285299E-09
   -5.950000E+00    -1.100000E+00     1.320628E-09
   -5.950000E+00    -1.050000E+00     1.356010E-09
   -5.950000E+00    -1.000000E+00     1.389245E-09
   -5.950000E+00    -9.500000E-01     1.418269E-09
   -5.950000E+00    -9.000000E-01     1.441334E-09
   -5.950000E+00    -8.500000E-01     1.457175E-09
   -5.950000E+00    -8.000000E-01     1.465138E-09
   -5.950000E+00    -7.500000E-01     1.465242E-09
   -5.950000E+00    -7.000000E-01     1.458196E-09
   -5.950000E+00    -6.500000E-01     1.445340E-09
   -5.950000E+00    -6.000000E-01     1.428524E-09
   -5.950000E+00    -5.500000E-01     1.409944E-09
   -5.950000E+00    -5.000000E-01     1.391928E-09
   -5.950000E+00    -4.500000E-01     1.376718E-09
   -5.950000E+00    -4.000000E-01     1.366245E-09
   -5.950000E+00    -3.500000E-01     1.361942E-09
   -5.950000E+00    -3.000000E-01     1.364595E-09
   -5.950000E+00    -2.500000E-01     1.374261E-09
   -5.950000E+00    -2.000000E-01     1.390262E-09
   -5.950000E+00    -1.500000E-01     1.411244E-09
   -5.950000E+00    -1.000000E-01     1.435315E-09
   -5.950000E+00    -5.000000E-02     1.460233E-09
   -5.950000E+00     0.000000E+00     1.483632E-09
   -5.950000E+00     5.000000E-02     1.503262E-09
   -5.950000E+00     1.000000E-01     1.517219E-09
   -5.950000E+00     1.500000E-01     1.524138E-09
   -5.950000E+00     2.000000E-01     1.523334E-09
   -5.950000E+00     2.500000E-01     1.514869E-09
   -5.950000E+00     3.000000E-01     1.499547E-09
   -5.950000E+00     3.500000E-01     1.478828E-09
   -5.950000E+00     4.000000E-01     1.454680E-09
   -5.950000E+00     4.500000E-01     1.429377E-09
   -5.950000E+00     5.000000E-01     1.405266E-09
   -5.950000E+00     5.500000E-01     1.384531E-09
